date,lat,long,set,pull,mesh,nets,fish,site,secchi.dis,secchi.re,air.temp,water.temp,wind.sp,wind.dir,cloud.cov,set.time,CPUE,julian.date
8/7/2020,64.318,-161.13549,8:45,9:45,"5/8""",1,1,SHK,1.2,0.8,57,57,10,S,100,1,1,220
8/7/2020,64.28751,-161.07744,10:15,11:45,combined,2,2,SHK,1.5,1.3,57,57,5,S,75,1.5,0.6666666666666666,220
8/7/2020,64.20131,-160.95188,12:20,15:40,combined,2,6,SHK,2.5,2,57,57,1,S,90,3.3333333333333335,0.8999999999999999,220
8/7/2020,64.0169,-160.91451,10:11,16:15,"5/8""",1,28,UNK,0.8,0.5,60,58,7,S,85,6.066666666666666,4.615384615384616,220
8/10/2020,64.30069,-161.10348,16:20,17:30,combined,2,0,SHK,1.25,1,60,59,0,NA,10,1.1666666666666667,0,223
8/10/2020,64.01728,-160.91138,11:39,12:55,"5/8""",1,4,UNK,1,0.7,59,56,5,SE,30,1.2666666666666666,3.1578947368421053,223
8/10/2020,64.28699,-161.07575,9:10,11:10,combined,2,4,SHK,0.9,0.6,51,58,1,,75,2,1,223
8/10/2020,64.132,-160.95424,11:55,13:20,combined,2,4,SHK,1.5,1.25,62,58,1,S,25,1.4166666666666667,1.4117647058823528,223
8/10/2020,64.02448,-160.91692,13:05,15:35,"5/8""",1,7,UNK,1.3,1.1,NA,NA,7,SE,50,2.5,2.8,223
8/10/2020,64.18195,-160.95771,13:30,15:30,combined,2,10,SHK,1.5,1.25,NA,58,1,,NA,2,2.5,223
8/11/2020,63.912967,-160.822617,11:08,11:30,"5/8""",1,0,UNK,2.1,1.9,60,59,5,SW,25,0.36666666666666664,0,224
8/11/2020,64.18224,-160.95687,11:40,12:35,"5/8""",1,0,SHK,NA,NA,52,58,NA,NA,NA,0.9166666666666666,0,224
8/11/2020,64.017080000000007,-160.91208,11:53,13:48,"5/8""",1,1,UNK,1.4,1,60,57,4,S,15,1.9166666666666667,0.5217391304347826,224
8/11/2020,64.0753,-160.9474,14:04,15:33,"5/8""",1,1,UNK,1.5,1.1,62,58,8,W,8,1.4833333333333334,0.6741573033707865,224
8/11/2020,64.24019,-160.98668,13:10,16:00,combined,2,6,SHK,1,0.5,62,59,1,,0,2.8333333333333335,1.0588235294117647,224
8/11/2020,64.18224,-160.95687,9:24,11:30,combined,2,23,SHK,NA,NA,52,58,NA,,NA,2.1,5.476190476190476,224
8/12/2020,63.95433,-160.85193,12:10,12:50,"5/8""",1,8,UNK,0.6,0.5,NA,57,3,SW,20,0.6666666666666666,12,225
8/12/2020,63.95433,-160.85193,10:09,12:05,combined,2,27,UNK,0.6,0.5,NA,57,3,SW,20,1.9333333333333333,6.982758620689655,225
8/12/2020,64.18191,-160.9575,9:32,15:30,combined,2,36,SHK,1.2,1,54,58,1,,75,5.966666666666667,3.016759776536313,225
8/13/2020,64.29979,-161.10029,9:10,11:10,combined,2,11,SHK,1,0.75,56,57,2,W,100,2,2.75,226
8/17/2020,63.95427,-160.8533,13:20,13:46,"5/8""",1,1,UNK,1.3,1,72,58,15,SE,0,0.43333333333333335,2.3076923076923075,230
8/17/2020,64.30146,-161.10429,11:16,13:10,"5/8""",1,6,SHK,1.25,1,69,58,1,,0,1.9,3.1578947368421053,230
8/17/2020,64.30146,-161.10429,13:20,16:20,"5/8""",1,11,SHK,1.25,1,69,58,1,,0,3,3.6666666666666665,230
8/17/2020,63.95427,-160.8533,13:46,15:40,combined,2,20,UNK,1.3,1,72,58,15,SE,0,1.9,5.2631578947368425,230
8/18/2020,64.20234,-160.95064,10:15,11:15,combined,2,0,SHK,2,2,62,62,0,NA,5,1,0,231
8/18/2020,64.18199,-160.95745,11:30,12:30,combined,2,0,SHK,2,2,65,62,2,SE,5,1,0,231
8/18/2020,64.27301,-161.04781,12:45,15:45,combined,2,6,SHK,2.5,2,64,60,NA,,NA,3,1,231
8/18/2020,63.95477,-160.85222,10:07,12:30,"5/8""",1,19,UNK,1.9,1.6,62,58,2,SE,0,2.3833333333333333,7.9720279720279725,231
8/20/2020,64.28782,-161.07748,14:20,14:53,"7/8""",1,3,SHK,0.5,0.3,56,60,1,,100,0.55,5.454545454545454,233
8/20/2020,64.31762,-161.13248,9:15,14:10,"7/8""",1,14,SHK,0.4,0.2,56,59,5,W,100,4.916666666666667,2.847457627118644,233
8/24/2020,64.27122,-161.04342,16:18,17:40,"7/8""",1,3,SHK,0.2,0.1,60,59,1,,50,1.3666666666666667,2.1951219512195124,237
8/24/2020,64.30094,-161.10243,14:00,16:01,"7/8""",1,4,SHK,0.2,0.1,58,58,5,S,NA,2.0166666666666666,1.9834710743801653,237
8/24/2020,64.31762,-161.13248,18:00,19:15,combined,2,4,SHK,0.4,0.2,60,60,1,,25,1.25,1.6,237
8/24/2020,63.95417,-160.85283,10:42,16:01,"5/8""",1,16,UNK,0.5,0.3,58,57,5,S,90,5.316666666666666,3.0094043887147337,237
8/25/2020,64.24375,-160.9934,13:17,14:23,"7/8""",1,3,SHK,1.1,0.8,58,60,1,,75,1.1,2.727272727272727,238
8/25/2020,64.18224,-160.95758,11:05,13:00,"7/8""",1,6,SHK,1.5,1,54,58,1,,100,1.9166666666666667,3.1304347826086953,238
8/25/2020,63.95455,-160.85202,13:42,15:20,"5/8""",1,9,UNK,1.25,1,63,57,5,S,50,1.6333333333333333,5.510204081632653,238
8/25/2020,64.18224,-160.95758,9:18,10:55,combined,2,13,SHK,1.5,1,54,58,1,,100,1.6166666666666667,4.020618556701031,238
8/25/2020,63.95455,-160.85202,15:32,16:42,combined,2,15,UNK,1.25,1,63,57,5,S,50,1.1666666666666667,6.428571428571428,238
8/26/2020,64.20171,-160.95265,9:30,11:00,combined,2,3,SHK,1.4,1.3,52,60,1,SE,50,1.5,1,239
8/26/2020,64.2718,-161.04591,11:25,13:00,combined,2,4,SHK,1.5,1.25,50,60,1,E,50,1.5833333333333333,1.2631578947368423,239
8/5/2020,64.01717,-160.91177,14:17,16:15,"5/8""",1,16,UNK,0.7,0.5,NA,NA,7,NW,75,1.9666666666666666,8.135593220338983,218
8/6/2020,64.03183,-160.92131,11:34,12:05,"5/8""",1,1,UNK,2.2,2.1,56,57,7,E,95,0.5166666666666667,1.9354838709677418,219
